"","TNF","IFNG","Donor","timepoint","quadrant"
"1","1070.05883789062","1000.46166992188","D2","0h","double_producer"
"2","1322.31213378906","1111.09802246094","D2","0h","double_producer"
"3","871.382568359375","1145.85400390625","D2","0h","double_producer"
"4","1347.49865722656","1454.35083007812","D2","0h","double_producer"
"5","1507.61303710938","1281.26513671875","D2","0h","double_producer"
"6","1361.72546386719","1518.13415527344","D2","0h","double_producer"
"7","2273.0849609375","2055.90405273438","D2","0h","double_producer"
"8","2277.2294921875","2003.19775390625","D2","0h","double_producer"
"9","1912.76220703125","2991.6123046875","D2","0h","double_producer"
"10","2556.3955078125","2341.13452148438","D2","0h","double_producer"
"11","1864.6064453125","2352.13793945312","D2","0h","double_producer"
"12","2868.32177734375","2600.79931640625","D2","0h","double_producer"
"13","3874.693359375","2925.66796875","D2","0h","double_producer"
"14","3968.91333007812","3291.52563476562","D2","0h","double_producer"
"15","4494.0908203125","3792.3154296875","D2","0h","double_producer"
"16","2027.07604980469","1670.80505371094","D2","0h","double_producer"
"17","1548.78698730469","1440.34350585938","D2","0h","double_producer"
"18","1296.59936523438","1139.24633789062","D2","0h","double_producer"
"19","2262.51489257812","2227.15893554688","D2","0h","double_producer"
"20","3139.6904296875","2647.6220703125","D2","0h","double_producer"
"21","3246.52709960938","3101.67993164062","D2","0h","double_producer"
"22","889.062622070312","681.517028808594","D3","0h","double_producer"
"23","1247.27661132812","1295.93493652344","D3","0h","double_producer"
"24","4941.78662109375","1303.51416015625","D1","1h","double_producer"
"25","1304.33898925781","725.949035644531","D1","1h","double_producer"
"26","1560.66320800781","1342.78601074219","D1","1h","double_producer"
"27","1450.23388671875","1294.33374023438","D1","1h","double_producer"
"28","2420.98754882812","1171.60534667969","D1","1h","double_producer"
"29","694.471008300781","2071.20483398438","D1","1h","double_producer"
"30","1091.6162109375","1624.79528808594","D1","1h","double_producer"
"31","3560.0087890625","1352.10217285156","D1","1h","double_producer"
"32","4729.17041015625","1038.13159179688","D1","1h","double_producer"
"33","1929.56774902344","1738.48205566406","D1","1h","double_producer"
"34","1300.57275390625","1298.63049316406","D1","1h","double_producer"
"35","1009.1064453125","838.214111328125","D1","1h","double_producer"
"36","1733.48278808594","1407.794921875","D1","1h","double_producer"
"37","733.495910644531","1211.59436035156","D1","1h","double_producer"
"38","3951.98706054688","1653.27661132812","D1","1h","double_producer"
"39","978.756286621094","1540.57946777344","D1","1h","double_producer"
"40","1391.51745605469","1180.56201171875","D1","1h","double_producer"
"41","650.885375976562","789.847961425781","D1","1h","double_producer"
"42","3798.44677734375","1158.61596679688","D1","1h","double_producer"
