"","IFNG","TNF","Donor","timepoint","quadrant","condition"
"86","981.734802246094","4050.42797851562","D1","1h","TNF_single_producer","KO"
"87","1124.15258789062","3747.5439453125","D1","1h","TNF_single_producer","KO"
"88","1195.70007324219","563.904174804688","D1","1h","TNF_single_producer","KO"
"89","646.202453613281","3154.26318359375","D1","1h","TNF_single_producer","KO"
"90","919.086120605469","1529.662109375","D1","1h","TNF_single_producer","KO"
"91","739.588684082031","1111.08142089844","D1","1h","TNF_single_producer","KO"
"92","912.170471191406","968.473388671875","D1","1h","TNF_single_producer","KO"
"93","1200.24792480469","6867.56298828125","D1","1h","TNF_single_producer","KO"
"94","575.567077636719","1225.25598144531","D1","1h","TNF_single_producer","KO"
"95","969.417907714844","1436.98498535156","D1","1h","TNF_single_producer","KO"
"96","782.474487304688","539.265380859375","D1","1h","TNF_single_producer","KO"
"97","1344.54235839844","2696.810546875","D1","1h","TNF_single_producer","KO"
"98","934.309020996094","2073.69189453125","D1","1h","TNF_single_producer","KO"
"99","1046.53686523438","4688.302734375","D1","1h","TNF_single_producer","KO"
"100","652.547424316406","5869.216796875","D1","1h","TNF_single_producer","KO"
"101","714.315673828125","1460.90783691406","D1","1h","TNF_single_producer","KO"
"102","1543.67724609375","1000.18060302734","D1","1h","TNF_single_producer","KO"
"103","870.750305175781","827.074584960938","D1","1h","TNF_single_producer","KO"
"104","1577.77404785156","6662.8408203125","D1","1h","TNF_single_producer","KO"
"105","1156.31042480469","5129.32666015625","D1","1h","TNF_single_producer","KO"
"106","799.906616210938","2117.67919921875","D1","1h","TNF_single_producer","KO"
"107","534.443115234375","1784.27258300781","D1","1h","TNF_single_producer","KO"
"108","1236.00622558594","1984.28161621094","D1","1h","TNF_single_producer","KO"
"109","777.776977539062","782.668273925781","D1","1h","TNF_single_producer","KO"
"110","910.824401855469","529.570068359375","D1","1h","TNF_single_producer","KO"
"111","1337.61889648438","12266.83203125","D1","1h","TNF_single_producer","KO"
"112","899.954895019531","10672.80078125","D1","1h","TNF_single_producer","KO"
"113","764.549255371094","1831.94616699219","D1","1h","TNF_single_producer","KO"
"114","752.784362792969","728.330749511719","D1","1h","TNF_single_producer","KO"
"115","475.013702392578","516.10791015625","D1","1h","TNF_single_producer","KO"
"116","751.155151367188","922.160766601562","D1","1h","TNF_single_producer","KO"
"117","1116.58911132812","1083.57019042969","D1","1h","TNF_single_producer","KO"
"118","1331.4453125","983.43603515625","D1","1h","TNF_single_producer","KO"
"119","1320.08386230469","2451.61083984375","D1","1h","TNF_single_producer","KO"
"120","1064.91882324219","5176.5947265625","D1","1h","TNF_single_producer","KO"
"121","802.746643066406","2389.80322265625","D1","1h","TNF_single_producer","KO"
"122","1067.01550292969","2716.88500976562","D1","1h","TNF_single_producer","KO"
"123","1076.52844238281","514.246887207031","D1","1h","TNF_single_producer","KO"
"124","773.841430664062","1293.72875976562","D1","1h","TNF_single_producer","KO"
"125","473.322265625","3753.41479492188","D1","1h","TNF_single_producer","KO"
"126","949.194213867188","7113.9677734375","D1","1h","TNF_single_producer","KO"
"127","1280.31335449219","4524.7451171875","D1","1h","TNF_single_producer","KO"
"128","1294.1787109375","1511.61682128906","D1","1h","TNF_single_producer","KO"
"129","823.442016601562","1851.33288574219","D1","1h","TNF_single_producer","KO"
"130","408.401031494141","489.712188720703","D1","1h","TNF_single_producer","KO"
"131","671.676391601562","603.183776855469","D1","1h","TNF_single_producer","KO"
"132","1288.92358398438","9187.75390625","D1","1h","TNF_single_producer","KO"
"133","1280.69934082031","3259.34033203125","D1","1h","TNF_single_producer","KO"
"134","978.32421875","3340.32641601562","D1","1h","TNF_single_producer","KO"
"135","1309.95593261719","8125.7841796875","D1","1h","TNF_single_producer","KO"
"136","880.34228515625","1933.22424316406","D1","1h","TNF_single_producer","KO"
"137","825.22314453125","775.002807617188","D1","1h","TNF_single_producer","KO"
"138","795.879638671875","558.688720703125","D1","1h","TNF_single_producer","KO"
"139","701.030700683594","1105.39807128906","D1","1h","TNF_single_producer","KO"
"140","979.94970703125","3207.2373046875","D1","1h","TNF_single_producer","KO"
"141","713.355102539062","3273.30249023438","D1","1h","TNF_single_producer","KO"
"142","971.606079101562","1719.45239257812","D1","1h","TNF_single_producer","KO"
"143","1053.56091308594","6607.99609375","D1","1h","TNF_single_producer","KO"
"144","709.316284179688","1140.57934570312","D1","1h","TNF_single_producer","KO"
"145","790.886047363281","2565.58911132812","D1","1h","TNF_single_producer","KO"
"146","782.459167480469","1034.40222167969","D1","1h","TNF_single_producer","KO"
"147","821.451110839844","641.259643554688","D1","1h","TNF_single_producer","KO"
"148","747.135986328125","1725.99768066406","D1","1h","TNF_single_producer","KO"
"149","811.150512695312","1861.25842285156","D1","1h","TNF_single_producer","KO"
"150","1178.275390625","604.270874023438","D1","1h","TNF_single_producer","KO"
"151","976.674011230469","5758.6953125","D1","1h","TNF_single_producer","KO"
"152","999.331726074219","18450.060546875","D1","1h","TNF_single_producer","KO"
"153","756.986328125","920.095947265625","D1","1h","TNF_single_producer","KO"
"154","1521.79296875","7501.373046875","D1","1h","TNF_single_producer","KO"
"155","829.184753417969","1818.97351074219","D1","1h","TNF_single_producer","KO"
"156","1041.63146972656","1708.69897460938","D1","1h","TNF_single_producer","KO"
"157","632.632202148438","9300.1884765625","D1","1h","TNF_single_producer","KO"
"158","655.22802734375","627.162292480469","D1","1h","TNF_single_producer","KO"
"159","957.266296386719","13924.9658203125","D1","1h","TNF_single_producer","KO"
"160","642.571594238281","830.880676269531","D1","1h","TNF_single_producer","KO"
"161","422.212585449219","1574.08776855469","D1","1h","TNF_single_producer","KO"
"162","904.013488769531","5312.2841796875","D1","1h","TNF_single_producer","KO"
"163","1381.52734375","4733.376953125","D1","1h","TNF_single_producer","KO"
"164","963.668151855469","1830.77258300781","D1","1h","TNF_single_producer","KO"
"165","949.815490722656","3641.1455078125","D1","1h","TNF_single_producer","KO"
"166","882.544921875","2824.90209960938","D1","1h","TNF_single_producer","KO"
"167","1074.81506347656","976.973510742188","D1","1h","TNF_single_producer","KO"
"168","1114.12084960938","8214.3173828125","D1","1h","TNF_single_producer","KO"
"169","1389.52587890625","1081.29711914062","D1","1h","TNF_single_producer","KO"
"170","506.721130371094","5570.80078125","D1","1h","TNF_single_producer","KO"
"171","806.862121582031","2118.81884765625","D1","1h","TNF_single_producer","KO"
"172","638.767456054688","4099.83642578125","D1","1h","TNF_single_producer","KO"
"173","975.926330566406","2859.73461914062","D1","1h","TNF_single_producer","KO"
"174","1484.93798828125","1478.12524414062","D1","1h","TNF_single_producer","KO"
"175","1324.29992675781","804.260131835938","D1","1h","TNF_single_producer","KO"
"176","1183.68249511719","2391.36743164062","D1","1h","TNF_single_producer","KO"
"177","1183.04016113281","755.546813964844","D1","1h","TNF_single_producer","KO"
"178","510.511779785156","881.031555175781","D1","1h","TNF_single_producer","KO"
"179","967.748840332031","1386.70300292969","D1","1h","TNF_single_producer","KO"
"180","772.307983398438","484.213836669922","D1","1h","TNF_single_producer","KO"
"181","1293.09191894531","12782.8359375","D1","1h","TNF_single_producer","KO"
"182","509.555816650391","2720.96166992188","D1","1h","TNF_single_producer","KO"
"183","751.674743652344","1214.29467773438","D1","1h","TNF_single_producer","KO"
"184","1189.63684082031","936.439514160156","D1","1h","TNF_single_producer","KO"
"185","1319.22607421875","6499.84130859375","D1","1h","TNF_single_producer","KO"
"186","768.429748535156","839.818603515625","D1","1h","TNF_single_producer","KO"
"187","954.997253417969","8269.7451171875","D1","1h","TNF_single_producer","KO"
"188","736.767395019531","1795.36633300781","D1","1h","TNF_single_producer","KO"
"189","1015.51031494141","4376.48779296875","D1","1h","TNF_single_producer","KO"
"190","836.60009765625","10621.6318359375","D1","1h","TNF_single_producer","KO"
"191","1077.04650878906","3459.18017578125","D1","1h","TNF_single_producer","KO"
"192","1526.41833496094","1991.50305175781","D1","1h","TNF_single_producer","KO"
"193","834.934631347656","548.979675292969","D1","1h","TNF_single_producer","KO"
