"","IFNG","TNF","Donor","timepoint","quadrant","NA"
"96","1656.38415527344","13348.6337890625","D1","1h","double_producer","KO"
"97","1992.10559082031","6202.265625","D1","1h","double_producer","KO"
"98","5070.16748046875","6460.7216796875","D1","1h","double_producer","KO"
"99","2303.27709960938","10098.9326171875","D1","1h","double_producer","KO"
"100","2140.67895507812","4716.23876953125","D1","1h","double_producer","KO"
"101","3269.45043945312","6855.96533203125","D1","1h","double_producer","KO"
"102","6007.20458984375","2947.44702148438","D1","1h","double_producer","KO"
"103","1603.73132324219","10592.919921875","D1","1h","double_producer","KO"
"104","2029.07556152344","12238.5908203125","D1","1h","double_producer","KO"
"105","6074.80029296875","10780.3623046875","D1","1h","double_producer","KO"
"106","1628.90698242188","3433.46899414062","D1","1h","double_producer","KO"
"107","2663.35620117188","12783.75390625","D1","1h","double_producer","KO"
"108","4097.61279296875","13548.298828125","D1","1h","double_producer","KO"
"109","2762.51025390625","8927.4892578125","D1","1h","double_producer","KO"
"110","2820.73022460938","4568.6826171875","D1","1h","double_producer","KO"
"111","1592.45690917969","1769.9677734375","D1","1h","double_producer","KO"
"112","1665.46691894531","7559.36181640625","D1","1h","double_producer","KO"
"113","1804.35192871094","16544.494140625","D1","1h","double_producer","KO"
"114","2786.32885742188","4283.6904296875","D1","1h","double_producer","KO"
"115","2821.36572265625","5665.7509765625","D1","1h","double_producer","KO"
"116","2915.09033203125","8860.427734375","D1","1h","double_producer","KO"
"117","2075.6572265625","30670.828125","D1","1h","double_producer","KO"
"118","4013.54931640625","17698.75","D1","1h","double_producer","KO"
"119","2525.17724609375","16007.3154296875","D1","1h","double_producer","KO"
"120","2846.04931640625","5745.9755859375","D1","1h","double_producer","KO"
"121","2123.64453125","573.913208007812","D1","1h","double_producer","KO"
"122","2128.56298828125","2386.64794921875","D1","1h","double_producer","KO"
"123","1892.90112304688","6323.97021484375","D1","1h","double_producer","KO"
"124","2298.060546875","15871.1572265625","D1","1h","double_producer","KO"
"125","2148.51391601562","8274.26171875","D1","1h","double_producer","KO"
"126","1937.00744628906","11472.9921875","D1","1h","double_producer","KO"
"127","1764.92431640625","5454.8173828125","D1","1h","double_producer","KO"
"128","1675.298828125","2184.42822265625","D1","1h","double_producer","KO"
"129","6380.9130859375","9603.6982421875","D1","1h","double_producer","KO"
"130","2448.79809570312","17120.865234375","D1","1h","double_producer","KO"
"131","2579.26147460938","5646.55517578125","D1","1h","double_producer","KO"
"132","2088.42309570312","645.006225585938","D1","1h","double_producer","KO"
"133","1794.57531738281","1565.01513671875","D1","1h","double_producer","KO"
"134","4842.58935546875","19102.62109375","D1","1h","double_producer","KO"
"135","2262.49755859375","6696.9287109375","D1","1h","double_producer","KO"
"136","3587.32250976562","5404.10888671875","D1","1h","double_producer","KO"
"137","3256.54467773438","8404.8349609375","D1","1h","double_producer","KO"
"138","2643.46020507812","17579.03515625","D1","1h","double_producer","KO"
"139","5184.90576171875","13193.75","D1","1h","double_producer","KO"
"140","4127.16650390625","11022.234375","D1","1h","double_producer","KO"
"141","3226.44311523438","18901.900390625","D1","1h","double_producer","KO"
"142","3066.53271484375","9537.3076171875","D1","1h","double_producer","KO"
"143","1946.90490722656","3060.40185546875","D1","1h","double_producer","KO"
"144","2604.3046875","2282.23022460938","D1","1h","double_producer","KO"
"145","2650.14038085938","8033.61279296875","D1","1h","double_producer","KO"
"146","4049.38037109375","2755.4306640625","D1","1h","double_producer","KO"
"147","2113.31665039062","1247.2412109375","D1","1h","double_producer","KO"
"148","2548.30859375","1635.35339355469","D1","1h","double_producer","KO"
"149","2752.6904296875","11347.57421875","D1","1h","double_producer","KO"
"150","5087.45703125","7815.408203125","D1","1h","double_producer","KO"
"151","5445.4658203125","21499.998046875","D1","1h","double_producer","KO"
"152","2549.29858398438","4414.05224609375","D1","1h","double_producer","KO"
"153","3600.69873046875","19039.298828125","D1","1h","double_producer","KO"
"154","1637.78076171875","6519.4736328125","D1","1h","double_producer","KO"
"155","2359.236328125","7284.67041015625","D1","1h","double_producer","KO"
"156","3400.6279296875","10397.4833984375","D1","1h","double_producer","KO"
"157","3020.1689453125","1455.19067382812","D1","1h","double_producer","KO"
"158","2510.91162109375","4566.10986328125","D1","1h","double_producer","KO"
"159","2166.97290039062","3898.28173828125","D1","1h","double_producer","KO"
"160","2154.68139648438","6116.5458984375","D1","1h","double_producer","KO"
"161","3500.83740234375","6702.18603515625","D1","1h","double_producer","KO"
"162","2649.32836914062","3455.17163085938","D1","1h","double_producer","KO"
"163","2497.85498046875","9133.6904296875","D1","1h","double_producer","KO"
"164","3464.97265625","8066.46630859375","D1","1h","double_producer","KO"
"165","1704.82006835938","8678.208984375","D1","1h","double_producer","KO"
"166","3782.7783203125","17345.48046875","D1","1h","double_producer","KO"
"167","2671.67016601562","18538.0234375","D1","1h","double_producer","KO"
"168","1976.23950195312","11691.91796875","D1","1h","double_producer","KO"
"169","2958.732421875","2688.6318359375","D1","1h","double_producer","KO"
"170","4150.90576171875","12466.9619140625","D1","1h","double_producer","KO"
"171","2286.64916992188","17385.337890625","D1","1h","double_producer","KO"
"172","3054.75415039062","13429.1640625","D1","1h","double_producer","KO"
"173","1978.47387695312","10500.9072265625","D1","1h","double_producer","KO"
"174","2417.76342773438","10941.591796875","D1","1h","double_producer","KO"
"175","7500.56494140625","11671.1015625","D1","1h","double_producer","KO"
"176","2399.60327148438","4347.984375","D1","1h","double_producer","KO"
"177","2021.48608398438","30235.146484375","D1","1h","double_producer","KO"
"178","2381.8994140625","8296.9208984375","D1","1h","double_producer","KO"
"179","2546.57592773438","14500.0703125","D1","1h","double_producer","KO"
"180","2001.12866210938","15151.4970703125","D1","1h","double_producer","KO"
"181","2174.087890625","1683.20959472656","D1","1h","double_producer","KO"
"182","1604.49182128906","3371.6787109375","D1","1h","double_producer","KO"
"183","4061.806640625","12344.2021484375","D1","1h","double_producer","KO"
"184","2623.7705078125","11255.1220703125","D1","1h","double_producer","KO"
"185","2302.57934570312","39979.484375","D1","1h","double_producer","KO"
"186","3248.35620117188","4785.92236328125","D1","1h","double_producer","KO"
"187","3163.5830078125","3389.25634765625","D1","1h","double_producer","KO"
"188","3331.26098632812","28699.482421875","D1","1h","double_producer","KO"
"189","4487.2109375","29736.302734375","D1","1h","double_producer","KO"
"190","3854.771484375","14684.6103515625","D1","1h","double_producer","KO"
"191","1599.68054199219","3469.7861328125","D1","1h","double_producer","KO"
"192","2342.58154296875","1890.09594726562","D1","1h","double_producer","KO"
"193","4739.98779296875","38590.734375","D1","1h","double_producer","KO"
"194","1686.21960449219","5005.11328125","D1","1h","double_producer","KO"
"195","1606.59777832031","5854.9248046875","D1","1h","double_producer","KO"
"196","2339.67602539062","13345.078125","D1","1h","double_producer","KO"
"197","2796.85571289062","5491.03125","D1","1h","double_producer","KO"
"198","3720.12866210938","15436.73828125","D1","1h","double_producer","KO"
"199","2002.47875976562","6948.1298828125","D1","1h","double_producer","KO"
"200","2839.7880859375","7622.40478515625","D1","1h","double_producer","KO"
"201","1887.56079101562","982.903747558594","D1","1h","double_producer","KO"
"202","2882.18701171875","22390.46484375","D1","1h","double_producer","KO"
"203","4694.59814453125","8674.4091796875","D1","1h","double_producer","KO"
"204","2583.85571289062","2291.40698242188","D1","1h","double_producer","KO"
"205","1739.90014648438","29374.826171875","D1","1h","double_producer","KO"
"206","1910.1083984375","5018.83203125","D1","1h","double_producer","KO"
"207","6633.7314453125","25147.203125","D1","1h","double_producer","KO"
"208","1784.33337402344","17979.79296875","D1","1h","double_producer","KO"
"209","4872.337890625","2183.33618164062","D1","1h","double_producer","KO"
"210","2382.96044921875","10220.99609375","D1","1h","double_producer","KO"
"211","3591.92797851562","2082.35180664062","D1","1h","double_producer","KO"
"212","2832.72827148438","13871.076171875","D1","1h","double_producer","KO"
"213","6662.5634765625","24889.31640625","D1","1h","double_producer","KO"
"214","3187.06860351562","32513.9375","D1","1h","double_producer","KO"
"215","1716.74096679688","16843.853515625","D1","1h","double_producer","KO"
"216","3105.49926757812","2163.92041015625","D1","1h","double_producer","KO"
"217","3554.92529296875","6818.40625","D1","1h","double_producer","KO"
"218","2761.96337890625","5664.259765625","D1","1h","double_producer","KO"
"219","3771.43237304688","5584.0693359375","D1","1h","double_producer","KO"
"220","2614.77075195312","8746.498046875","D1","1h","double_producer","KO"
"221","3946.8349609375","6173.60498046875","D1","1h","double_producer","KO"
"222","3074.19897460938","7655.7890625","D1","1h","double_producer","KO"
"223","2969.35180664062","4045.17138671875","D1","1h","double_producer","KO"
"224","3580.896484375","5128.85107421875","D1","1h","double_producer","KO"
"225","3377.08374023438","1376.20703125","D1","1h","double_producer","KO"
"226","2463.685546875","2261.482421875","D1","1h","double_producer","KO"
"227","2337.10546875","26737.296875","D1","1h","double_producer","KO"
"228","2337.61059570312","2236.22998046875","D1","1h","double_producer","KO"
"229","3373.76025390625","1404.7451171875","D1","1h","double_producer","KO"
"230","2746.4453125","4603.23291015625","D1","1h","double_producer","KO"
"231","1861.06896972656","10061.90234375","D1","1h","double_producer","KO"
"232","1788.85705566406","3848.80737304688","D1","1h","double_producer","KO"
"233","1809.48461914062","12541.4326171875","D1","1h","double_producer","KO"
"234","5797.150390625","26475.423828125","D1","1h","double_producer","KO"
"235","3589.70141601562","1387.65832519531","D1","1h","double_producer","KO"
"236","5073.74853515625","13389.57421875","D1","1h","double_producer","KO"
"237","4680.59423828125","32094.58984375","D1","1h","double_producer","KO"
"238","4175.03759765625","10677.1884765625","D1","1h","double_producer","KO"
"239","1853.18334960938","1341.32373046875","D1","1h","double_producer","KO"
"240","4104.2861328125","12597.609375","D1","1h","double_producer","KO"
"241","1919.70495605469","7456.189453125","D1","1h","double_producer","KO"
"242","1605.3134765625","4047.45776367188","D1","1h","double_producer","KO"
"243","1870.69165039062","2256.4228515625","D1","1h","double_producer","KO"
"244","3161.837890625","19257.1015625","D1","1h","double_producer","KO"
"245","3269.56420898438","1036.34045410156","D1","1h","double_producer","KO"
"246","5446.70703125","1724.38952636719","D1","1h","double_producer","KO"
"247","3158.98266601562","11954.74609375","D1","1h","double_producer","KO"
"248","2433.12646484375","15670.5390625","D1","1h","double_producer","KO"
"249","1957.52197265625","12002.8544921875","D1","1h","double_producer","KO"
"250","4613.94140625","49517.7421875","D1","1h","double_producer","KO"
"251","1976.16259765625","5670.31005859375","D1","1h","double_producer","KO"
"252","3297.35229492188","10421.193359375","D1","1h","double_producer","KO"
"253","2496.94458007812","1334.40283203125","D1","1h","double_producer","KO"
"254","2521.6884765625","12204.296875","D1","1h","double_producer","KO"
"255","1713.57763671875","2125.94677734375","D1","1h","double_producer","KO"
"256","2650.98388671875","2103.85083007812","D1","1h","double_producer","KO"
"257","2985.48803710938","3878.41943359375","D1","1h","double_producer","KO"
"258","1776.81408691406","13038.6123046875","D1","1h","double_producer","KO"
"259","1888.87976074219","5171.865234375","D1","1h","double_producer","KO"
"260","1721.384765625","5761.36328125","D1","1h","double_producer","KO"
"261","1954.74560546875","10289.771484375","D1","1h","double_producer","KO"
"262","4473.93505859375","8099.63623046875","D1","1h","double_producer","KO"
"263","1752.35925292969","11184.3583984375","D1","1h","double_producer","KO"
"264","2406.94799804688","5423.4111328125","D1","1h","double_producer","KO"
