"","ID","donor","timepoint","cytokine","N_mature_nucleus","N_mature_cytoplasm","N_mature_total","N_nascent_Ts_1","N_nascent_Ts_2","N_nascent_total"
"3","D1_0HCD3CD28_01_Cell_CP_11_IFN","D1","0","IFN",2,0,2,0,0,0
"4","D1_0HCD3CD28_01_Cell_CP_11_TNF","D1","0","TNF",2,1,3,0,0,0
"5","D1_0HCD3CD28_01_Cell_CP_12_IFN","D1","0","IFN",2,0,2,0,0,0
"6","D1_0HCD3CD28_01_Cell_CP_12_TNF","D1","0","TNF",2,0,2,0,0,0
"8","D1_0HCD3CD28_01_Cell_CP_13_TNF","D1","0","TNF",1,0,1,0,0,0
"11","D1_0HCD3CD28_01_Cell_CP_15_IFN","D1","0","IFN",13,0,13,0,0,0
"12","D1_0HCD3CD28_01_Cell_CP_15_TNF","D1","0","TNF",4,0,4,0,0,0
"13","D1_0HCD3CD28_01_Cell_CP_16_IFN","D1","0","IFN",18,7,25,0,0,0
"15","D1_0HCD3CD28_01_Cell_CP_18_IFN","D1","0","IFN",1,0,1,0,0,0
"16","D1_0HCD3CD28_01_Cell_CP_18_TNF","D1","0","TNF",0,0,0,4,0,4
"17","D1_0HCD3CD28_01_Cell_CP_19_IFN","D1","0","IFN",1,0,1,0,0,0
"18","D1_0HCD3CD28_01_Cell_CP_19_TNF","D1","0","TNF",1,0,1,0,0,0
"22","D1_0HCD3CD28_01_Cell_CP_23_TNF","D1","0","TNF",1,1,2,0,0,0
"23","D1_0HCD3CD28_01_Cell_CP_24_IFN","D1","0","IFN",1,0,1,0,0,0
"24","D1_0HCD3CD28_01_Cell_CP_24_TNF","D1","0","TNF",1,0,1,0,0,0
"26","D1_0HCD3CD28_01_Cell_CP_25_TNF","D1","0","TNF",1,1,2,0,0,0
"27","D1_0HCD3CD28_01_Cell_CP_27_IFN","D1","0","IFN",1,0,1,0,0,0
"28","D1_0HCD3CD28_01_Cell_CP_27_TNF","D1","0","TNF",0,0,0,10,0,10
"31","D1_0HCD3CD28_01_Cell_CP_29_IFN","D1","0","IFN",1,0,1,0,0,0
"32","D1_0HCD3CD28_01_Cell_CP_29_TNF","D1","0","TNF",1,0,1,0,0,0
"34","D1_0HCD3CD28_01_Cell_CP_31_TNF","D1","0","TNF",1,1,2,0,0,0
"39","D1_0HCD3CD28_01_Cell_CP_34_IFN","D1","0","IFN",1,0,1,0,0,0
"40","D1_0HCD3CD28_01_Cell_CP_34_TNF","D1","0","TNF",5,0,5,0,0,0
"41","D1_0HCD3CD28_01_Cell_CP_35_IFN","D1","0","IFN",1,0,1,0,0,0
"42","D1_0HCD3CD28_01_Cell_CP_35_TNF","D1","0","TNF",1,1,2,0,0,0
"43","D1_0HCD3CD28_01_Cell_CP_36_IFN","D1","0","IFN",1,1,2,0,0,0
"48","D1_0HCD3CD28_01_Cell_CP_38_TNF","D1","0","TNF",2,0,2,0,0,0
"51","D1_0HCD3CD28_01_Cell_CP_42_IFN","D1","0","IFN",1,0,1,0,0,0
"53","D1_0HCD3CD28_01_Cell_CP_43_IFN","D1","0","IFN",2,0,2,0,0,0
"54","D1_0HCD3CD28_01_Cell_CP_43_TNF","D1","0","TNF",2,0,2,0,0,0
"55","D1_0HCD3CD28_01_Cell_CP_44_IFN","D1","0","IFN",1,0,1,0,0,0
"59","D1_0HCD3CD28_01_Cell_CP_46_IFN","D1","0","IFN",1,0,1,0,0,0
"60","D1_0HCD3CD28_01_Cell_CP_46_TNF","D1","0","TNF",1,0,1,0,0,0
"61","D1_0HCD3CD28_01_Cell_CP_47_IFN","D1","0","IFN",4,0,4,0,0,0
"65","D1_0HCD3CD28_01_Cell_CP_50_IFN","D1","0","IFN",1,0,1,0,0,0
"66","D1_0HCD3CD28_01_Cell_CP_50_TNF","D1","0","TNF",1,0,1,0,0,0
"67","D1_0HCD3CD28_01_Cell_CP_51_IFN","D1","0","IFN",1,0,1,0,0,0
"68","D1_0HCD3CD28_01_Cell_CP_51_TNF","D1","0","TNF",0,1,1,0,0,0
"71","D1_0HCD3CD28_01_Cell_CP_55_IFN","D1","0","IFN",1,0,1,0,0,0
"73","D1_0HCD3CD28_01_Cell_CP_57_IFN","D1","0","IFN",0,1,1,0,0,0
"74","D1_0HCD3CD28_01_Cell_CP_57_TNF","D1","0","TNF",0,1,1,0,0,0
"75","D1_0HCD3CD28_01_Cell_CP_58_IFN","D1","0","IFN",1,0,1,0,0,0
"79","D1_0HCD3CD28_01_Cell_CP_6_IFN","D1","0","IFN",1,0,1,0,0,0
"81","D1_0HCD3CD28_01_Cell_CP_60_IFN","D1","0","IFN",1,0,1,0,0,0
"85","D1_0HCD3CD28_01_Cell_CP_63_IFN","D1","0","IFN",2,0,2,0,0,0
"86","D1_0HCD3CD28_01_Cell_CP_63_TNF","D1","0","TNF",2,0,2,0,0,0
"87","D1_0HCD3CD28_01_Cell_CP_64_IFN","D1","0","IFN",1,0,1,0,0,0
"88","D1_0HCD3CD28_01_Cell_CP_64_TNF","D1","0","TNF",1,0,1,0,0,0
"89","D1_0HCD3CD28_01_Cell_CP_66_IFN","D1","0","IFN",1,0,1,0,0,0
"90","D1_0HCD3CD28_01_Cell_CP_66_TNF","D1","0","TNF",1,0,1,0,0,0
"93","D1_0HCD3CD28_01_Cell_CP_68_IFN","D1","0","IFN",2,0,2,0,0,0
"94","D1_0HCD3CD28_01_Cell_CP_68_TNF","D1","0","TNF",1,0,1,0,0,0
"95","D1_0HCD3CD28_01_Cell_CP_69_IFN","D1","0","IFN",1,0,1,0,0,0
"99","D1_0HCD3CD28_01_Cell_CP_72_IFN","D1","0","IFN",1,0,1,0,0,0
"105","D1_0HCD3CD28_01_Cell_CP_75_IFN","D1","0","IFN",1,0,1,0,0,0
"106","D1_0HCD3CD28_01_Cell_CP_75_TNF","D1","0","TNF",0,1,1,0,0,0
"110","D1_0HCD3CD28_01_Cell_CP_77_TNF","D1","0","TNF",1,0,1,0,0,0
"112","D1_0HCD3CD28_01_Cell_CP_79_TNF","D1","0","TNF",1,0,1,0,0,0
"115","D1_0HCD3CD28_01_Cell_CP_80_IFN","D1","0","IFN",2,0,2,0,0,0
"119","D1_0HCD3CD28_02_Cell_CP_10_IFN","D1","0","IFN",3,0,3,0,0,0
"123","D1_0HCD3CD28_02_Cell_CP_12_IFN","D1","0","IFN",2,1,3,0,0,0
"124","D1_0HCD3CD28_02_Cell_CP_12_TNF","D1","0","TNF",0,1,1,0,0,0
"127","D1_0HCD3CD28_02_Cell_CP_14_IFN","D1","0","IFN",0,1,1,0,0,0
"131","D1_0HCD3CD28_02_Cell_CP_16_IFN","D1","0","IFN",1,0,1,0,0,0
"132","D1_0HCD3CD28_02_Cell_CP_16_TNF","D1","0","TNF",0,1,1,0,0,0
"134","D1_0HCD3CD28_02_Cell_CP_17_TNF","D1","0","TNF",5,0,5,0,0,0
"137","D1_0HCD3CD28_02_Cell_CP_19_IFN","D1","0","IFN",1,0,1,0,0,0
"141","D1_0HCD3CD28_02_Cell_CP_21_IFN","D1","0","IFN",1,0,1,0,0,0
"145","D1_0HCD3CD28_02_Cell_CP_23_IFN","D1","0","IFN",0,2,2,0,0,0
"151","D1_0HCD3CD28_02_Cell_CP_26_IFN","D1","0","IFN",2,1,3,0,0,0
"152","D1_0HCD3CD28_02_Cell_CP_26_TNF","D1","0","TNF",2,0,2,0,0,0
"153","D1_0HCD3CD28_02_Cell_CP_27_IFN","D1","0","IFN",0,1,1,0,0,0
"154","D1_0HCD3CD28_02_Cell_CP_27_TNF","D1","0","TNF",0,2,2,0,0,0
"155","D1_0HCD3CD28_02_Cell_CP_28_IFN","D1","0","IFN",1,0,1,0,0,0
"156","D1_0HCD3CD28_02_Cell_CP_28_TNF","D1","0","TNF",2,1,3,0,0,0
"157","D1_0HCD3CD28_02_Cell_CP_29_IFN","D1","0","IFN",1,0,1,0,0,0
"163","D1_0HCD3CD28_02_Cell_CP_33_IFN","D1","0","IFN",1,0,1,0,0,0
"164","D1_0HCD3CD28_02_Cell_CP_33_TNF","D1","0","TNF",1,1,2,0,0,0
"169","D1_0HCD3CD28_02_Cell_CP_36_IFN","D1","0","IFN",1,1,2,0,0,0
"170","D1_0HCD3CD28_02_Cell_CP_36_TNF","D1","0","TNF",1,0,1,0,0,0
"175","D1_0HCD3CD28_02_Cell_CP_43_IFN","D1","0","IFN",0,1,1,0,0,0
"176","D1_0HCD3CD28_02_Cell_CP_43_TNF","D1","0","TNF",0,3,3,0,0,0
"177","D1_0HCD3CD28_02_Cell_CP_44_IFN","D1","0","IFN",0,1,1,0,0,0
"179","D1_0HCD3CD28_02_Cell_CP_45_IFN","D1","0","IFN",1,0,1,0,0,0
"189","D1_0HCD3CD28_02_Cell_CP_50_IFN","D1","0","IFN",1,0,1,0,0,0
"190","D1_0HCD3CD28_02_Cell_CP_50_TNF","D1","0","TNF",0,0,0,3,0,3
"193","D1_0HCD3CD28_02_Cell_CP_52_IFN","D1","0","IFN",1,0,1,0,0,0
"194","D1_0HCD3CD28_02_Cell_CP_52_TNF","D1","0","TNF",1,0,1,0,0,0
"201","D1_0HCD3CD28_02_Cell_CP_58_IFN","D1","0","IFN",0,2,2,0,0,0
"202","D1_0HCD3CD28_02_Cell_CP_58_TNF","D1","0","TNF",0,1,1,0,0,0
"204","D1_0HCD3CD28_02_Cell_CP_59_TNF","D1","0","TNF",1,0,1,0,0,0
"207","D1_0HCD3CD28_02_Cell_CP_61_IFN","D1","0","IFN",1,0,1,0,0,0
"210","D1_0HCD3CD28_02_Cell_CP_62_TNF","D1","0","TNF",1,0,1,0,0,0
"212","D1_0HCD3CD28_02_Cell_CP_63_TNF","D1","0","TNF",0,1,1,0,0,0
"215","D1_0HCD3CD28_02_Cell_CP_66_IFN","D1","0","IFN",1,0,1,0,0,0
"217","D1_0HCD3CD28_02_Cell_CP_68_IFN","D1","0","IFN",1,0,1,0,0,0
"218","D1_0HCD3CD28_02_Cell_CP_68_TNF","D1","0","TNF",0,1,1,0,0,0
"219","D1_0HCD3CD28_02_Cell_CP_69_IFN","D1","0","IFN",0,2,2,0,0,0
"220","D1_0HCD3CD28_02_Cell_CP_69_TNF","D1","0","TNF",0,1,1,0,0,0
"225","D1_0HCD3CD28_02_Cell_CP_72_IFN","D1","0","IFN",1,0,1,0,0,0
"226","D1_0HCD3CD28_02_Cell_CP_72_TNF","D1","0","TNF",1,0,1,0,0,0
"237","D1_0HCD3CD28_02_Cell_CP_79_IFN","D1","0","IFN",1,0,1,0,0,0
"240","D1_0HCD3CD28_02_Cell_CP_8_TNF","D1","0","TNF",0,2,2,0,0,0
"245","D1_0HCD3CD28_02_Cell_CP_82_IFN","D1","0","IFN",1,0,1,0,0,0
"246","D1_0HCD3CD28_02_Cell_CP_82_TNF","D1","0","TNF",1,1,2,0,0,0
"247","D1_0HCD3CD28_02_Cell_CP_83_IFN","D1","0","IFN",0,1,1,0,0,0
"249","D1_0HCD3CD28_02_Cell_CP_84_IFN","D1","0","IFN",0,1,1,0,0,0
"251","D1_0HCD3CD28_02_Cell_CP_85_IFN","D1","0","IFN",0,1,1,0,0,0
"252","D1_0HCD3CD28_02_Cell_CP_85_TNF","D1","0","TNF",0,1,1,0,0,0
"254","D1_0HCD3CD28_02_Cell_CP_86_TNF","D1","0","TNF",0,2,2,0,0,0
"260","D1_0HCD3CD28_03_Cell_CP_11_TNF","D1","0","TNF",0,1,1,0,0,0
"268","D1_0HCD3CD28_03_Cell_CP_19_TNF","D1","0","TNF",1,0,1,0,0,0
"269","D1_0HCD3CD28_03_Cell_CP_20_IFN","D1","0","IFN",1,0,1,0,0,0
"271","D1_0HCD3CD28_03_Cell_CP_24_IFN","D1","0","IFN",4,0,4,0,0,0
"275","D1_0HCD3CD28_03_Cell_CP_28_IFN","D1","0","IFN",1,0,1,0,0,0
"276","D1_0HCD3CD28_03_Cell_CP_28_TNF","D1","0","TNF",1,0,1,0,0,0
"281","D1_0HCD3CD28_03_Cell_CP_38_IFN","D1","0","IFN",2,0,2,0,0,0
"282","D1_0HCD3CD28_03_Cell_CP_38_TNF","D1","0","TNF",1,0,1,0,0,0
"283","D1_0HCD3CD28_03_Cell_CP_39_IFN","D1","0","IFN",0,1,1,0,0,0
"284","D1_0HCD3CD28_03_Cell_CP_39_TNF","D1","0","TNF",0,1,1,0,0,0
"285","D1_0HCD3CD28_03_Cell_CP_43_IFN","D1","0","IFN",0,1,1,0,0,0
"289","D1_0HCD3CD28_03_Cell_CP_45_IFN","D1","0","IFN",1,0,1,0,0,0
"290","D1_0HCD3CD28_03_Cell_CP_45_TNF","D1","0","TNF",1,0,1,0,0,0
"292","D1_0HCD3CD28_03_Cell_CP_46_TNF","D1","0","TNF",1,0,1,0,0,0
"294","D1_0HCD3CD28_03_Cell_CP_47_TNF","D1","0","TNF",2,1,3,0,0,0
"295","D1_0HCD3CD28_03_Cell_CP_48_IFN","D1","0","IFN",3,0,3,0,0,0
"305","D1_0HCD3CD28_03_Cell_CP_53_IFN","D1","0","IFN",3,0,3,0,0,0
"309","D1_0HCD3CD28_03_Cell_CP_57_IFN","D1","0","IFN",3,0,3,0,0,0
"317","D1_0HCD3CD28_03_Cell_CP_61_IFN","D1","0","IFN",2,0,2,0,0,0
"318","D1_0HCD3CD28_03_Cell_CP_61_TNF","D1","0","TNF",6,1,7,0,0,0
"321","D1_0HCD3CD28_03_Cell_CP_63_IFN","D1","0","IFN",1,0,1,0,0,0
"322","D1_0HCD3CD28_03_Cell_CP_63_TNF","D1","0","TNF",1,0,1,0,0,0
"323","D1_0HCD3CD28_03_Cell_CP_64_IFN","D1","0","IFN",1,0,1,0,0,0
"327","D1_0HCD3CD28_03_Cell_CP_66_IFN","D1","0","IFN",1,1,2,0,0,0
"328","D1_0HCD3CD28_03_Cell_CP_66_TNF","D1","0","TNF",1,0,1,0,0,0
"329","D1_0HCD3CD28_03_Cell_CP_67_IFN","D1","0","IFN",2,0,2,0,0,0
"350","D1_0HCD3CD28_03_Cell_CP_80_TNF","D1","0","TNF",1,0,1,0,0,0
"351","D1_0HCD3CD28_03_Cell_CP_81_IFN","D1","0","IFN",0,1,1,0,0,0
"353","D1_0HCD3CD28_03_Cell_CP_82_IFN","D1","0","IFN",2,0,2,0,0,0
"354","D1_0HCD3CD28_03_Cell_CP_82_TNF","D1","0","TNF",1,0,1,0,0,0
"356","D1_0HCD3CD28_03_Cell_CP_83_TNF","D1","0","TNF",1,0,1,0,0,0
"359","D1_0HCD3CD28_04_Cell_CP_11_IFN","D1","0","IFN",1,0,1,0,0,0
"363","D1_0HCD3CD28_04_Cell_CP_16_IFN","D1","0","IFN",0,1,1,0,0,0
"365","D1_0HCD3CD28_04_Cell_CP_17_IFN","D1","0","IFN",1,0,1,0,0,0
"370","D1_0HCD3CD28_04_Cell_CP_19_TNF","D1","0","TNF",1,0,1,0,0,0
"373","D1_0HCD3CD28_04_Cell_CP_23_IFN","D1","0","IFN",1,0,1,0,0,0
"374","D1_0HCD3CD28_04_Cell_CP_23_TNF","D1","0","TNF",12,0,12,4,0,4
"375","D1_0HCD3CD28_04_Cell_CP_27_IFN","D1","0","IFN",1,0,1,0,0,0
"380","D1_0HCD3CD28_04_Cell_CP_30_TNF","D1","0","TNF",1,0,1,0,0,0
"381","D1_0HCD3CD28_04_Cell_CP_31_IFN","D1","0","IFN",2,1,3,0,0,0
"385","D1_0HCD3CD28_04_Cell_CP_33_IFN","D1","0","IFN",1,0,1,0,0,0
"391","D1_0HCD3CD28_04_Cell_CP_37_IFN","D1","0","IFN",3,0,3,0,0,0
"392","D1_0HCD3CD28_04_Cell_CP_37_TNF","D1","0","TNF",1,0,1,0,0,0
"393","D1_0HCD3CD28_04_Cell_CP_38_IFN","D1","0","IFN",2,0,2,0,0,0
"394","D1_0HCD3CD28_04_Cell_CP_38_TNF","D1","0","TNF",1,0,1,0,0,0
"395","D1_0HCD3CD28_04_Cell_CP_39_IFN","D1","0","IFN",1,2,3,0,0,0
"397","D1_0HCD3CD28_04_Cell_CP_40_IFN","D1","0","IFN",0,1,1,0,0,0
"398","D1_0HCD3CD28_04_Cell_CP_40_TNF","D1","0","TNF",1,0,1,0,0,0
"417","D1_0HCD3CD28_04_Cell_CP_58_IFN","D1","0","IFN",1,0,1,0,0,0
"423","D1_0HCD3CD28_04_Cell_CP_61_IFN","D1","0","IFN",2,0,2,0,0,0
"426","D1_0HCD3CD28_04_Cell_CP_64_TNF","D1","0","TNF",0,1,1,0,0,0
"427","D1_0HCD3CD28_04_Cell_CP_66_IFN","D1","0","IFN",0,1,1,0,0,0
"433","D1_0HCD3CD28_04_Cell_CP_71_IFN","D1","0","IFN",2,4,6,0,0,0
"434","D1_0HCD3CD28_04_Cell_CP_71_TNF","D1","0","TNF",0,1,1,0,0,0
"437","D1_0HCD3CD28_04_Cell_CP_73_IFN","D1","0","IFN",1,0,1,0,0,0
"438","D1_0HCD3CD28_04_Cell_CP_73_TNF","D1","0","TNF",2,0,2,0,0,0
"446","D1_0HCD3CD28_04_Cell_CP_78_TNF","D1","0","TNF",1,0,1,0,0,0
"450","D1_0HCD3CD28_04_Cell_CP_8_TNF","D1","0","TNF",1,0,1,0,0,0
"451","D1_0HCD3CD28_04_Cell_CP_80_IFN","D1","0","IFN",1,0,1,0,0,0
"457","D1_0HCD3CD28_05_Cell_CP_10_IFN","D1","0","IFN",2,0,2,0,0,0
"458","D1_0HCD3CD28_05_Cell_CP_10_TNF","D1","0","TNF",1,0,1,0,0,0
"459","D1_0HCD3CD28_05_Cell_CP_13_IFN","D1","0","IFN",1,0,1,0,0,0
"460","D1_0HCD3CD28_05_Cell_CP_13_TNF","D1","0","TNF",3,1,4,0,0,0
"473","D1_0HCD3CD28_05_Cell_CP_22_IFN","D1","0","IFN",1,0,1,0,0,0
"474","D1_0HCD3CD28_05_Cell_CP_22_TNF","D1","0","TNF",1,0,1,0,0,0
"478","D1_0HCD3CD28_05_Cell_CP_24_TNF","D1","0","TNF",1,0,1,0,0,0
"486","D1_0HCD3CD28_05_Cell_CP_29_TNF","D1","0","TNF",2,0,2,0,0,0
"489","D1_0HCD3CD28_05_Cell_CP_31_IFN","D1","0","IFN",1,0,1,0,0,0
"491","D1_0HCD3CD28_05_Cell_CP_32_IFN","D1","0","IFN",1,1,2,0,0,0
"492","D1_0HCD3CD28_05_Cell_CP_32_TNF","D1","0","TNF",1,0,1,0,0,0
"495","D1_0HCD3CD28_05_Cell_CP_35_IFN","D1","0","IFN",2,0,2,0,0,0
"496","D1_0HCD3CD28_05_Cell_CP_35_TNF","D1","0","TNF",2,0,2,11,0,11
"501","D1_0HCD3CD28_05_Cell_CP_38_IFN","D1","0","IFN",1,0,1,0,0,0
"503","D1_0HCD3CD28_05_Cell_CP_39_IFN","D1","0","IFN",1,0,1,0,0,0
"509","D1_0HCD3CD28_05_Cell_CP_42_IFN","D1","0","IFN",1,0,1,0,0,0
"516","D1_0HCD3CD28_05_Cell_CP_45_TNF","D1","0","TNF",1,0,1,0,0,0
"517","D1_0HCD3CD28_05_Cell_CP_46_IFN","D1","0","IFN",1,1,2,0,0,0
"521","D1_0HCD3CD28_05_Cell_CP_49_IFN","D1","0","IFN",1,0,1,0,0,0
"525","D1_0HCD3CD28_05_Cell_CP_50_IFN","D1","0","IFN",3,0,3,0,0,0
"526","D1_0HCD3CD28_05_Cell_CP_50_TNF","D1","0","TNF",2,0,2,5,0,5
"527","D1_0HCD3CD28_05_Cell_CP_51_IFN","D1","0","IFN",0,2,2,0,0,0
"528","D1_0HCD3CD28_05_Cell_CP_51_TNF","D1","0","TNF",0,1,1,0,0,0
"529","D1_0HCD3CD28_05_Cell_CP_53_IFN","D1","0","IFN",0,1,1,0,0,0
"533","D1_0HCD3CD28_05_Cell_CP_55_IFN","D1","0","IFN",2,0,2,0,0,0
"534","D1_0HCD3CD28_05_Cell_CP_55_TNF","D1","0","TNF",1,0,1,9,0,9
"537","D1_0HCD3CD28_05_Cell_CP_57_IFN","D1","0","IFN",1,0,1,0,0,0
"538","D1_0HCD3CD28_05_Cell_CP_57_TNF","D1","0","TNF",1,0,1,0,0,0
"540","D1_0HCD3CD28_05_Cell_CP_58_TNF","D1","0","TNF",0,1,1,0,0,0
"545","D1_0HCD3CD28_05_Cell_CP_60_IFN","D1","0","IFN",2,0,2,0,0,0
"551","D1_0HCD3CD28_05_Cell_CP_63_IFN","D1","0","IFN",1,0,1,0,0,0
"566","D1_0HCD3CD28_05_Cell_CP_73_TNF","D1","0","TNF",2,0,2,0,0,0
"567","D1_0HCD3CD28_05_Cell_CP_74_IFN","D1","0","IFN",1,0,1,0,0,0
"568","D1_0HCD3CD28_05_Cell_CP_74_TNF","D1","0","TNF",0,1,1,0,0,0
"569","D1_0HCD3CD28_05_Cell_CP_75_IFN","D1","0","IFN",1,0,1,0,0,0
"576","D1_0HCD3CD28_05_Cell_CP_80_TNF","D1","0","TNF",0,3,3,0,0,0
"580","D1_0HCD3CD28_05_Cell_CP_84_TNF","D1","0","TNF",2,0,2,0,0,0
"585","D1_0HCD3CD28_06_Cell_CP_10_IFN","D1","0","IFN",1,0,1,0,0,0
"589","D1_0HCD3CD28_06_Cell_CP_14_IFN","D1","0","IFN",1,0,1,0,0,0
"591","D1_0HCD3CD28_06_Cell_CP_15_IFN","D1","0","IFN",1,0,1,0,0,0
"592","D1_0HCD3CD28_06_Cell_CP_15_TNF","D1","0","TNF",1,0,1,0,0,0
"610","D1_0HCD3CD28_06_Cell_CP_26_TNF","D1","0","TNF",2,0,2,0,0,0
"616","D1_0HCD3CD28_06_Cell_CP_29_TNF","D1","0","TNF",0,1,1,0,0,0
"619","D1_0HCD3CD28_06_Cell_CP_31_IFN","D1","0","IFN",1,0,1,0,0,0
"627","D1_0HCD3CD28_06_Cell_CP_35_IFN","D1","0","IFN",1,0,1,0,0,0
"630","D1_0HCD3CD28_06_Cell_CP_36_TNF","D1","0","TNF",0,3,3,0,0,0
"632","D1_0HCD3CD28_06_Cell_CP_39_TNF","D1","0","TNF",0,1,1,0,0,0
"639","D1_0HCD3CD28_06_Cell_CP_44_IFN","D1","0","IFN",1,0,1,0,0,0
"640","D1_0HCD3CD28_06_Cell_CP_44_TNF","D1","0","TNF",1,0,1,0,0,0
"641","D1_0HCD3CD28_06_Cell_CP_45_IFN","D1","0","IFN",1,7,8,0,0,0
"643","D1_0HCD3CD28_06_Cell_CP_48_IFN","D1","0","IFN",1,0,1,0,0,0
"644","D1_0HCD3CD28_06_Cell_CP_48_TNF","D1","0","TNF",2,1,3,0,0,0
"647","D1_0HCD3CD28_06_Cell_CP_50_IFN","D1","0","IFN",0,1,1,0,0,0
"650","D1_0HCD3CD28_06_Cell_CP_51_TNF","D1","0","TNF",0,3,3,0,0,0
"651","D1_0HCD3CD28_06_Cell_CP_52_IFN","D1","0","IFN",0,1,1,0,0,0
"652","D1_0HCD3CD28_06_Cell_CP_52_TNF","D1","0","TNF",2,0,2,0,0,0
"658","D1_0HCD3CD28_06_Cell_CP_55_TNF","D1","0","TNF",1,0,1,0,0,0
"661","D1_0HCD3CD28_06_Cell_CP_57_IFN","D1","0","IFN",1,0,1,0,0,0
"663","D1_0HCD3CD28_06_Cell_CP_58_IFN","D1","0","IFN",1,0,1,0,0,0
"678","D1_0HCD3CD28_06_Cell_CP_66_TNF","D1","0","TNF",0,12,12,0,0,0
"682","D1_0HCD3CD28_06_Cell_CP_68_TNF","D1","0","TNF",1,0,1,0,0,0
"686","D1_0HCD3CD28_06_Cell_CP_7_TNF","D1","0","TNF",0,1,1,0,0,0
"690","D1_0HCD3CD28_06_Cell_CP_73_TNF","D1","0","TNF",0,2,2,0,0,0
"703","D1_0HCD3CD28_06_Cell_CP_80_IFN","D1","0","IFN",1,1,2,0,0,0
"707","D1_0HCD3CD28_06_Cell_CP_83_IFN","D1","0","IFN",6,1,7,0,0,0
"718","D1_0HCD3CD28_06_Cell_CP_90_TNF","D1","0","TNF",1,0,1,0,0,0
"719","D1_0HCD3CD28_06_Cell_CP_91_IFN","D1","0","IFN",1,0,1,0,0,0
"721","D1_0HCD3CD28_06_Cell_CP_92_IFN","D1","0","IFN",0,1,1,0,0,0
"722","D1_0HCD3CD28_06_Cell_CP_92_TNF","D1","0","TNF",0,1,1,0,0,0
"728","D1_0HCD3CD28_07_Cell_CP_10_TNF","D1","0","TNF",1,0,1,0,0,0
"729","D1_0HCD3CD28_07_Cell_CP_11_IFN","D1","0","IFN",2,0,2,0,0,0
"731","D1_0HCD3CD28_07_Cell_CP_12_IFN","D1","0","IFN",1,0,1,0,0,0
"732","D1_0HCD3CD28_07_Cell_CP_12_TNF","D1","0","TNF",1,0,1,0,0,0
"733","D1_0HCD3CD28_07_Cell_CP_13_IFN","D1","0","IFN",1,0,1,0,0,0
"734","D1_0HCD3CD28_07_Cell_CP_13_TNF","D1","0","TNF",1,0,1,0,0,0
"737","D1_0HCD3CD28_07_Cell_CP_16_IFN","D1","0","IFN",1,0,1,0,0,0
"738","D1_0HCD3CD28_07_Cell_CP_16_TNF","D1","0","TNF",1,0,1,0,0,0
"750","D1_0HCD3CD28_07_Cell_CP_25_TNF","D1","0","TNF",0,1,1,0,0,0
"751","D1_0HCD3CD28_07_Cell_CP_26_IFN","D1","0","IFN",0,1,1,0,0,0
"753","D1_0HCD3CD28_07_Cell_CP_27_IFN","D1","0","IFN",1,0,1,0,0,0
"754","D1_0HCD3CD28_07_Cell_CP_27_TNF","D1","0","TNF",1,0,1,0,0,0
"759","D1_0HCD3CD28_07_Cell_CP_30_IFN","D1","0","IFN",1,4,5,0,0,0
"760","D1_0HCD3CD28_07_Cell_CP_30_TNF","D1","0","TNF",1,1,2,0,0,0
"767","D1_0HCD3CD28_07_Cell_CP_35_IFN","D1","0","IFN",1,0,1,0,0,0
"768","D1_0HCD3CD28_07_Cell_CP_35_TNF","D1","0","TNF",0,1,1,0,0,0
"769","D1_0HCD3CD28_07_Cell_CP_37_IFN","D1","0","IFN",1,0,1,0,0,0
"772","D1_0HCD3CD28_07_Cell_CP_4_TNF","D1","0","TNF",1,0,1,0,0,0
"774","D1_0HCD3CD28_07_Cell_CP_41_TNF","D1","0","TNF",0,1,1,0,0,0
"778","D1_0HCD3CD28_07_Cell_CP_44_TNF","D1","0","TNF",0,1,1,0,0,0
"780","D1_0HCD3CD28_07_Cell_CP_45_TNF","D1","0","TNF",0,4,4,0,0,0
"787","D1_0HCD3CD28_07_Cell_CP_49_IFN","D1","0","IFN",1,0,1,0,0,0
"789","D1_0HCD3CD28_07_Cell_CP_5_IFN","D1","0","IFN",1,0,1,0,0,0
"792","D1_0HCD3CD28_07_Cell_CP_50_TNF","D1","0","TNF",0,1,1,5,0,5
"795","D1_0HCD3CD28_07_Cell_CP_54_IFN","D1","0","IFN",1,0,1,0,0,0
"797","D1_0HCD3CD28_07_Cell_CP_55_IFN","D1","0","IFN",1,0,1,0,0,0
"800","D1_0HCD3CD28_07_Cell_CP_56_TNF","D1","0","TNF",0,1,1,0,0,0
"801","D1_0HCD3CD28_07_Cell_CP_57_IFN","D1","0","IFN",1,0,1,0,0,0
"803","D1_0HCD3CD28_07_Cell_CP_59_IFN","D1","0","IFN",1,0,1,0,0,0
"810","D1_0HCD3CD28_07_Cell_CP_61_TNF","D1","0","TNF",1,0,1,0,0,0
"814","D1_0HCD3CD28_07_Cell_CP_63_TNF","D1","0","TNF",2,1,3,0,0,0
"815","D1_0HCD3CD28_07_Cell_CP_64_IFN","D1","0","IFN",1,0,1,0,0,0
"816","D1_0HCD3CD28_07_Cell_CP_64_TNF","D1","0","TNF",1,0,1,0,0,0
"817","D1_0HCD3CD28_07_Cell_CP_65_IFN","D1","0","IFN",1,0,1,0,0,0
