"","ID","N_nascent_Ts_1","N_nascent_Ts_2"
"89","D1_0HCD3CD28_02_Cell_CP_44_TNF",NA,NA
"90","D1_0HCD3CD28_02_Cell_CP_45_TNF",NA,NA
"91","D1_0HCD3CD28_02_Cell_CP_46_TNF",NA,NA
"92","D1_0HCD3CD28_02_Cell_CP_47_TNF",NA,NA
"93","D1_0HCD3CD28_02_Cell_CP_48_TNF",NA,NA
"94","D1_0HCD3CD28_02_Cell_CP_49_TNF",NA,NA
"95","D1_0HCD3CD28_02_Cell_CP_50_TNF",3,NA
"96","D1_0HCD3CD28_02_Cell_CP_51_TNF",NA,NA
"97","D1_0HCD3CD28_02_Cell_CP_52_TNF",NA,NA
"98","D1_0HCD3CD28_02_Cell_CP_54_TNF",NA,NA
"99","D1_0HCD3CD28_02_Cell_CP_55_TNF",NA,NA
"100","D1_0HCD3CD28_02_Cell_CP_56_TNF",NA,NA
"101","D1_0HCD3CD28_02_Cell_CP_58_TNF",NA,NA
"102","D1_0HCD3CD28_02_Cell_CP_59_TNF",NA,NA
"103","D1_0HCD3CD28_02_Cell_CP_6_TNF",NA,NA
"104","D1_0HCD3CD28_02_Cell_CP_61_TNF",NA,NA
"105","D1_0HCD3CD28_02_Cell_CP_62_TNF",NA,NA
"106","D1_0HCD3CD28_02_Cell_CP_63_TNF",NA,NA
"107","D1_0HCD3CD28_02_Cell_CP_64_TNF",NA,NA
"108","D1_0HCD3CD28_02_Cell_CP_66_TNF",NA,NA
"109","D1_0HCD3CD28_02_Cell_CP_68_TNF",NA,NA
"110","D1_0HCD3CD28_02_Cell_CP_69_TNF",NA,NA
"111","D1_0HCD3CD28_02_Cell_CP_7_TNF",NA,NA
"112","D1_0HCD3CD28_02_Cell_CP_70_TNF",NA,NA
"113","D1_0HCD3CD28_02_Cell_CP_72_TNF",NA,NA
"114","D1_0HCD3CD28_02_Cell_CP_74_TNF",NA,NA
"115","D1_0HCD3CD28_02_Cell_CP_75_TNF",NA,NA
"116","D1_0HCD3CD28_02_Cell_CP_76_TNF",NA,NA
"117","D1_0HCD3CD28_02_Cell_CP_77_TNF",NA,NA
"118","D1_0HCD3CD28_02_Cell_CP_78_TNF",NA,NA
"119","D1_0HCD3CD28_02_Cell_CP_79_TNF",NA,NA
"120","D1_0HCD3CD28_02_Cell_CP_8_TNF",NA,NA
"121","D1_0HCD3CD28_02_Cell_CP_80_TNF",NA,NA
